pmid,title,journal,pubdate_raw,pubdate_iso,doi,pmc,pubmed_url,doi_url,pmc_pdf_url,in_query_a,in_query_b,study_type,topic,score_applicability,score_effect,score_robustness,score_novelty,score_total,clinical_question,key_finding,main_limitation,tomorrow_change
41423749,Association Between Atopic Dermatitis and Contact Sensitization: An Updated Systematic Review and Meta-Analysis.,Contact dermatitis,2026 Mar,2026-03-15,10.1111/cod.70074,,https://pubmed.ncbi.nlm.nih.gov/41423749/,https://doi.org/10.1111/cod.70074,,1,1,SR/MA,Dermatitis atopica,4,2,2,0,8,Que terapias aportan mejor balance eficacia-seguridad en AP?,Association Between Atopic Dermatitis and Contact Sensitization: An Updated Systematic Review and Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Optimizar escalado terapeutico y educacion familiar.
41324393,Effect of Terbutaline Combined With Xiao'er Kechuanling on Efficacy and Airway Remodeling Indices in Children With Asthma.,Clinical pediatrics,2026 Mar,2026-03-15,10.1177/00099228251387553,,https://pubmed.ncbi.nlm.nih.gov/41324393/,https://doi.org/10.1177/00099228251387553,,0,1,RCT/CT,Asma/Sibilancias,4,3,1,0,8,Hay intervenciones o biomarcadores que mejoren decisiones en asma pediatrica?,Effect of Terbutaline Combined With Xiao'er Kechuanling on Efficacy and Airway Remodeling Indices in Children With Asthma.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Ajustar control y plan escrito segun nueva evidencia.
41277494,Long-Term Effects of School-Based CBT in Low-Risk Children and Adolescents: A Bayesian Meta-Analysis.,Journal of clinical psychology,2026 Mar,2026-03-15,10.1002/jclp.70069,,https://pubmed.ncbi.nlm.nih.gov/41277494/,https://doi.org/10.1002/jclp.70069,,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Long-Term Effects of School-Based CBT in Low-Risk Children and Adolescents: A Bayesian Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
40662504,"Efficacy, suicidality, tolerability, and acceptability of selective serotonin reuptake inhibitors and serotonin-norepinephrine reuptake inhibitors for children and adolescents with anxiety disorders: a systematic review and meta-analysis.",International clinical psychopharmacology,2026 Mar 1,2026-03-01,10.1097/YIC.0000000000000599,,https://pubmed.ncbi.nlm.nih.gov/40662504/,https://doi.org/10.1097/YIC.0000000000000599,,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,"Efficacy, suicidality, tolerability, and acceptability of selective serotonin reuptake inhibitors and serotonin-norepinephrine reuptake inhibitors for children and adolescents with anxiety disorders: a systematic review and meta-analysis.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41520676,"Budesonide-formoterol versus terbutaline reliever in adults with asthma using maintenance inhaled corticosteroids in New Zealand (INFORM ASTHMA): an open-label, parallel-group, randomised, controlled, phase 4 trial.",The Lancet. Respiratory medicine,2026 Feb,2026-02-15,10.1016/S2213-2600(25)00327-3,,https://pubmed.ncbi.nlm.nih.gov/41520676/,https://doi.org/10.1016/S2213-2600(25)00327-3,,0,1,RCT/CT,Asma/Sibilancias,4,3,1,0,8,Hay intervenciones o biomarcadores que mejoren decisiones en asma pediatrica?,"Budesonide-formoterol versus terbutaline reliever in adults with asthma using maintenance inhaled corticosteroids in New Zealand (INFORM ASTHMA): an open-label, parallel-group, randomised, controlled, phase 4 trial.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Ajustar control y plan escrito segun nueva evidencia.
41482237,Association between adolescent overweight and adult mortality risk: A systematic review.,Preventive medicine,2026 Feb,2026-02-15,10.1016/j.ypmed.2025.108492,,https://pubmed.ncbi.nlm.nih.gov/41482237/,https://doi.org/10.1016/j.ypmed.2025.108492,,1,1,SR/MA,Obesidad,4,2,2,0,8,Que programas o intervenciones consiguen cambios clinicamente relevantes?,Association between adolescent overweight and adult mortality risk: A systematic review.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41405824,"Randomised Controlled Trial Comparing Single Maintenance and Reliever Therapy (SMART) with Inhaled Budesonide-Formoterol Combination, Versus Conventional Budesonide and Additional As-Needed Levo-Salbutamol, in Children with Persistent Bronchial Asthma.",Indian journal of pediatrics,2026 Feb,2026-02-15,10.1007/s12098-025-05868-1,,https://pubmed.ncbi.nlm.nih.gov/41405824/,https://doi.org/10.1007/s12098-025-05868-1,,0,1,RCT/CT,Asma/Sibilancias,4,3,1,0,8,Hay intervenciones o biomarcadores que mejoren decisiones en asma pediatrica?,"Randomised Controlled Trial Comparing Single Maintenance and Reliever Therapy (SMART) with Inhaled Budesonide-Formoterol Combination, Versus Conventional Budesonide and Additional As-Needed Levo-Salbutamol, in Children with Persistent Bronchial Asthma.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Ajustar control y plan escrito segun nueva evidencia.
41386194,Neurocognitive outcomes of ADHD as a comorbidity in pediatric epilepsy: a systematic review.,Epilepsy & behavior : E&B,2026 Feb,2026-02-15,10.1016/j.yebeh.2025.110852,,https://pubmed.ncbi.nlm.nih.gov/41386194/,https://doi.org/10.1016/j.yebeh.2025.110852,,1,1,SR/MA,ADHD/TDAH,4,2,2,0,8,Que intervenciones mejoran sintomas nucleares y funcionalidad escolar/familiar?,Neurocognitive outcomes of ADHD as a comorbidity in pediatric epilepsy: a systematic review.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Priorizar intervenciones con mayor impacto funcional.
41370974,Effects of video game intervention on attention deficit in children with ADHD: A systematic review and meta-analysis.,Psychiatry research,2026 Feb,2026-02-15,10.1016/j.psychres.2025.116884,,https://pubmed.ncbi.nlm.nih.gov/41370974/,https://doi.org/10.1016/j.psychres.2025.116884,,1,1,SR/MA,ADHD/TDAH,4,2,2,0,8,Que intervenciones mejoran sintomas nucleares y funcionalidad escolar/familiar?,Effects of video game intervention on attention deficit in children with ADHD: A systematic review and meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Priorizar intervenciones con mayor impacto funcional.
41307283,Toward Age-Specific Application of Pediatric Non-Pharmacological Pain Strategies: A Bayesian Reanalysis of the Buzzy Device.,Paediatric anaesthesia,2026 Feb,2026-02-15,10.1111/pan.70094,,https://pubmed.ncbi.nlm.nih.gov/41307283/,https://doi.org/10.1111/pan.70094,,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Toward Age-Specific Application of Pediatric Non-Pharmacological Pain Strategies: A Bayesian Reanalysis of the Buzzy Device.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41260369,The effects of computerized executive function training on the youth with ADHD: A systematic review and meta-analysis.,Journal of affective disorders,2026 Feb 15,2026-02-15,10.1016/j.jad.2025.120730,,https://pubmed.ncbi.nlm.nih.gov/41260369/,https://doi.org/10.1016/j.jad.2025.120730,,1,1,SR/MA,ADHD/TDAH,4,2,2,0,8,Que intervenciones mejoran sintomas nucleares y funcionalidad escolar/familiar?,The effects of computerized executive function training on the youth with ADHD: A systematic review and meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Priorizar intervenciones con mayor impacto funcional.
41235934,Relationship Between Sleep Duration and Overweight/Obesity: A Comprehensive Overview of Meta-Analyses.,Clinical obesity,2026 Feb,2026-02-15,10.1111/cob.70051,,https://pubmed.ncbi.nlm.nih.gov/41235934/,https://doi.org/10.1111/cob.70051,,1,1,SR/MA,Obesidad,4,2,2,0,8,Que programas o intervenciones consiguen cambios clinicamente relevantes?,Relationship Between Sleep Duration and Overweight/Obesity: A Comprehensive Overview of Meta-Analyses.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
40690105,Efficacy and safety of transcutaneous electrical nerve stimulation versus oxybutynin in the treatment of overactive bladder in children: a systematic review and meta-analysis.,International urology and nephrology,2026 Feb,2026-02-15,10.1007/s11255-025-04671-3,,https://pubmed.ncbi.nlm.nih.gov/40690105/,https://doi.org/10.1007/s11255-025-04671-3,,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Efficacy and safety of transcutaneous electrical nerve stimulation versus oxybutynin in the treatment of overactive bladder in children: a systematic review and meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
40287009,Systematic Review and Meta-Analysis: Predictors of Adult Psychiatric Outcomes of Childhood Attention-Deficit/Hyperactivity Disorder.,Journal of the American Academy of Child and Adolescent Psychiatry,2026 Feb,2026-02-15,10.1016/j.jaac.2025.04.012,,https://pubmed.ncbi.nlm.nih.gov/40287009/,https://doi.org/10.1016/j.jaac.2025.04.012,,1,1,SR/MA,ADHD/TDAH,4,2,2,0,8,Que intervenciones mejoran sintomas nucleares y funcionalidad escolar/familiar?,Systematic Review and Meta-Analysis: Predictors of Adult Psychiatric Outcomes of Childhood Attention-Deficit/Hyperactivity Disorder.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Priorizar intervenciones con mayor impacto funcional.
40239946,Systematic Umbrella Review and Meta-Meta-Analysis: Effectiveness of Physical Activity in Improving Depression and Anxiety in Children and Adolescents.,Journal of the American Academy of Child and Adolescent Psychiatry,2026 Feb,2026-02-15,10.1016/j.jaac.2025.04.007,,https://pubmed.ncbi.nlm.nih.gov/40239946/,https://doi.org/10.1016/j.jaac.2025.04.007,,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Systematic Umbrella Review and Meta-Meta-Analysis: Effectiveness of Physical Activity in Improving Depression and Anxiety in Children and Adolescents.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
39325282,The Use of Digital Interventions for Children and Adolescents with Autism Spectrum Disorder-A Meta-Analysis.,Journal of autism and developmental disorders,2026 Feb,2026-02-15,10.1007/s10803-024-06563-4,,https://pubmed.ncbi.nlm.nih.gov/39325282/,https://doi.org/10.1007/s10803-024-06563-4,,1,1,SR/MA,Autismo/TEA,4,2,2,0,8,Que estrategias muestran beneficio funcional real en TEA?,The Use of Digital Interventions for Children and Adolescents with Autism Spectrum Disorder-A Meta-Analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Orientar objetivos realistas y derivacion temprana.
41652081,Comparison of Disorder-Specific Group CBT and Generic Group CBT in Treating Adolescents with Social Anxiety Disorder: A Randomized Controlled Trial.,Research on child and adolescent psychopathology,2026 Feb 6,2026-02-06,10.1007/s10802-025-01412-z,,https://pubmed.ncbi.nlm.nih.gov/41652081/,https://doi.org/10.1007/s10802-025-01412-z,,0,1,RCT/CT,Ansiedad,4,2,1,1,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Comparison of Disorder-Specific Group CBT and Generic Group CBT in Treating Adolescents with Social Anxiety Disorder: A Randomized Controlled Trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
40464662,"Safety, Tolerability, and Immunogenicity of mRNA-1345 in Adults at Increased Risk for Respiratory Syncytial Virus Disease Aged 18-59 Years.",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,2026 Feb 4,2026-02-04,10.1093/cid/ciaf292,,https://pubmed.ncbi.nlm.nih.gov/40464662/,https://doi.org/10.1093/cid/ciaf292,,0,1,RCT/CT,Bronquiolitis/RSV,4,2,1,1,8,Que cambia en soporte respiratorio y eventos clinicos en lactantes esta temporada?,"Safety, Tolerability, and Immunogenicity of mRNA-1345 in Adults at Increased Risk for Respiratory Syncytial Virus Disease Aged 18-59 Years.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar mensaje a familias y criterios de seguimiento respiratorio.
41635177,Probiotic Supplementation Reduces RRTIs and Enhances Gut Microbial and Immunity in Children: A Randomized Controlled Trial.,Journal of microbiology and biotechnology,2026 Feb 3,2026-02-03,10.4014/jmb.2511.11038,,https://pubmed.ncbi.nlm.nih.gov/41635177/,https://doi.org/10.4014/jmb.2511.11038,,0,1,RCT/CT,IVRS/Resfriado,4,2,1,1,8,"Que medidas reducen sintomas, complicaciones o uso de recursos en IVRS?",Probiotic Supplementation Reduces RRTIs and Enhances Gut Microbial and Immunity in Children: A Randomized Controlled Trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Refinar consejo clinico y seguridad de manejo domiciliario.
41461161,The impact of transdermal testosterone treatment on quality of life in women with diminished ovarian reserve: secondary analysis of a randomized controlled trial.,"Human reproduction (Oxford, England)",2026 Feb 1,2026-02-01,10.1093/humrep/deaf233,,https://pubmed.ncbi.nlm.nih.gov/41461161/,https://doi.org/10.1093/humrep/deaf233,,0,1,RCT/CT,Obesidad,4,2,1,1,8,Que programas o intervenciones consiguen cambios clinicamente relevantes?,The impact of transdermal testosterone treatment on quality of life in women with diminished ovarian reserve: secondary analysis of a randomized controlled trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41151728,Identifying bridge symptoms in the alexithymia comorbidity network among Chinese college students and evaluating the efficacy of a mindfulness-based intervention through a randomized controlled trial.,Journal of affective disorders,2026 Feb 1,2026-02-01,10.1016/j.jad.2025.120545,,https://pubmed.ncbi.nlm.nih.gov/41151728/,https://doi.org/10.1016/j.jad.2025.120545,,0,1,RCT/CT,Ansiedad,4,2,1,1,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Identifying bridge symptoms in the alexithymia comorbidity network among Chinese college students and evaluating the efficacy of a mindfulness-based intervention through a randomized controlled trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41138947,The effects of mindfulness and cognitive strategy interventions on core symptoms in children with ADHD: A randomized controlled trial.,Journal of affective disorders,2026 Feb 1,2026-02-01,10.1016/j.jad.2025.120513,,https://pubmed.ncbi.nlm.nih.gov/41138947/,https://doi.org/10.1016/j.jad.2025.120513,,0,1,RCT/CT,ADHD/TDAH,4,2,1,1,8,Que intervenciones mejoran sintomas nucleares y funcionalidad escolar/familiar?,The effects of mindfulness and cognitive strategy interventions on core symptoms in children with ADHD: A randomized controlled trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Priorizar intervenciones con mayor impacto funcional.
40674620,"Optimizing Liposuction with Tranexamic Acid in Tumescence: A Double-Blind, Contralateral, Randomized Clinical Trial.",Plastic and reconstructive surgery,2026 Feb 1,2026-02-01,10.1097/PRS.0000000000012299,,https://pubmed.ncbi.nlm.nih.gov/40674620/,https://doi.org/10.1097/PRS.0000000000012299,,0,1,RCT/CT,Obesidad,4,2,1,1,8,Que programas o intervenciones consiguen cambios clinicamente relevantes?,"Optimizing Liposuction with Tranexamic Acid in Tumescence: A Double-Blind, Contralateral, Randomized Clinical Trial.","Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41599922,Effects of Probiotic Supplementation on Mental Health and the Risk of Depression in Women with Polycystic Ovary Syndrome: A Systematic Review of Randomized Controlled Trials.,Nutrients,2026 Jan 19,2026-01-19,10.3390/nu18020307,PMC12844778,https://pubmed.ncbi.nlm.nih.gov/41599922/,https://doi.org/10.3390/nu18020307,https://pmc.ncbi.nlm.nih.gov/articles/PMC12844778/pdf/,1,1,SR/MA,Ansiedad,4,2,2,0,8,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Effects of Probiotic Supplementation on Mental Health and the Risk of Depression in Women with Polycystic Ovary Syndrome: A Systematic Review of Randomized Controlled Trials.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41560031,Effects of exercise intervention on inhibitory control in children and adolescents with autism spectrum disorders: A systematic review and meta-analysis.,Medicine,2026 Jan 16,2026-01-16,10.1097/MD.0000000000047186,PMC12826300,https://pubmed.ncbi.nlm.nih.gov/41560031/,https://doi.org/10.1097/MD.0000000000047186,https://pmc.ncbi.nlm.nih.gov/articles/PMC12826300/pdf/,1,1,SR/MA,Autismo/TEA,4,2,2,0,8,Que estrategias muestran beneficio funcional real en TEA?,Effects of exercise intervention on inhibitory control in children and adolescents with autism spectrum disorders: A systematic review and meta-analysis.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Orientar objetivos realistas y derivacion temprana.
41504330,Epidemiological characteristics of rotavirus gastroenteritis in China: A systematic review of studies published from 2014 to 2023.,Human vaccines & immunotherapeutics,2026 Dec,2026-12-15,10.1080/21645515.2025.2606530,PMC12785197,https://pubmed.ncbi.nlm.nih.gov/41504330/,https://doi.org/10.1080/21645515.2025.2606530,https://pmc.ncbi.nlm.nih.gov/articles/PMC12785197/pdf/,1,1,SR/MA,Gastroenteritis,4,1,2,0,7,"Que intervenciones previenen deshidratacion, ingreso o complicaciones?",Epidemiological characteristics of rotavirus gastroenteritis in China: A systematic review of studies published from 2014 to 2023.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Reforzar plan de hidratacion y signos de alarma.
41637424,Lessons learnt about implementing LEGO based therapy (Play Brick Therapy) based on fidelity data and experience from a large school-based randomised controlled trial.,PloS one,2026,2026-07-01,10.1371/journal.pone.0336952,PMC12872000,https://pubmed.ncbi.nlm.nih.gov/41637424/,https://doi.org/10.1371/journal.pone.0336952,https://pmc.ncbi.nlm.nih.gov/articles/PMC12872000/pdf/,0,1,RCT/CT,Autismo/TEA,4,2,1,0,7,Que estrategias muestran beneficio funcional real en TEA?,Lessons learnt about implementing LEGO based therapy (Play Brick Therapy) based on fidelity data and experience from a large school-based randomised controlled trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Orientar objetivos realistas y derivacion temprana.
41570032,The effect of comprehensive intervention on family support and the mediating effect between intervention and changes in children's dietary and physical activity behaviors.,PloS one,2026,2026-07-01,10.1371/journal.pone.0339009,PMC12826510,https://pubmed.ncbi.nlm.nih.gov/41570032/,https://doi.org/10.1371/journal.pone.0339009,https://pmc.ncbi.nlm.nih.gov/articles/PMC12826510/pdf/,0,1,RCT/CT,Obesidad,4,2,1,0,7,Que programas o intervenciones consiguen cambios clinicamente relevantes?,The effect of comprehensive intervention on family support and the mediating effect between intervention and changes in children's dietary and physical activity behaviors.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Afinar intervenciones de estilo de vida con metas medibles.
41544050,Comparison of chemo-mechanical and conventional caries removal methods in 6-to-12-year-old children: Randomized clinical trial.,PloS one,2026,2026-07-01,10.1371/journal.pone.0339771,PMC12810845,https://pubmed.ncbi.nlm.nih.gov/41544050/,https://doi.org/10.1371/journal.pone.0339771,https://pmc.ncbi.nlm.nih.gov/articles/PMC12810845/pdf/,0,1,RCT/CT,Ansiedad,4,2,1,0,7,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Comparison of chemo-mechanical and conventional caries removal methods in 6-to-12-year-old children: Randomized clinical trial.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
41538669,EARLY ILEOCECAL RESECTION IN CROHN'S DISEASE: A SYSTEMATIC REVIEW.,Arquivos de gastroenterologia,2026,2026-07-01,10.1590/S0004-2803.24612025-013,PMC12788765,https://pubmed.ncbi.nlm.nih.gov/41538669/,https://doi.org/10.1590/S0004-2803.24612025-013,https://pmc.ncbi.nlm.nih.gov/articles/PMC12788765/pdf/,1,1,SR/MA,Other,3,2,2,0,7,Que aporta este estudio para la toma de decisiones en AP pediatrica?,EARLY ILEOCECAL RESECTION IN CROHN'S DISEASE: A SYSTEMATIC REVIEW.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Aplicar el hallazgo en la decision compartida y revisar protocolos locales.
41422951,Prevention bends adolescent internalizing trajectories: Within-person changes from pre- to post-prevention.,Journal of affective disorders,2026 Apr 1,2026-04-01,10.1016/j.jad.2025.120939,,https://pubmed.ncbi.nlm.nih.gov/41422951/,https://doi.org/10.1016/j.jad.2025.120939,,0,1,RCT/CT,Ansiedad,4,2,1,0,7,Que abordajes mejoran sintomas y funcionalidad en ninos/adolescentes?,Prevention bends adolescent internalizing trajectories: Within-person changes from pre- to post-prevention.,"Revisar heterogeneidad, riesgo de sesgo y aplicabilidad local.",Actualizar recomendaciones psicoterapeuticas de primera linea.
